subclade	alias of	unaliased name	parent
A		A	none
A.2		A.2	A
A.3		A.3	A
A.3.2		A.3.2	A.3
B	A.2.1	A.2.1	A.2
B.1		A.2.1.1	B
B.1.1		A.2.1.1.1	B.1
B.1.2		A.2.1.1.2	B.1
B.1.2.1		A.2.1.1.2.1	B.1.2
B.1.2.1.1		A.2.1.1.2.1.1	B.1.2.1
B.2		A.2.1.2	B
B.3		A.2.1.3	B
B.4		A.2.1.4	B
C	A.3.1	A.3.1	A.3
C.1		A.3.1.1	C
D	B.1.2.1.2	A.2.1.1.2.1.2	B.1.2.1
E	B.1.2.2	A.2.1.1.2.2	B.1.2
E.1		A.2.1.1.2.2.1	E
E.2		A.2.1.1.2.2.2	E
F	E.1.1	A.2.1.1.2.2.1.1	E.1
F.1		A.2.1.1.2.2.1.1.1	F
F.1.1		A.2.1.1.2.2.1.1.1.1	F.1
G	E.1.2	A.2.1.1.2.2.1.2	E.1
G.1		A.2.1.1.2.2.1.2.1	G
G.1.1		A.2.1.1.2.2.1.2.1.1	G.1
G.1.1.1		A.2.1.1.2.2.1.2.1.1.1	G.1.1
G.1.1.2		A.2.1.1.2.2.1.2.1.1.2	G.1.1
G.1.2		A.2.1.1.2.2.1.2.1.2	G.1
G.1.3		A.2.1.1.2.2.1.2.1.3	G.1
G.1.3.1		A.2.1.1.2.2.1.2.1.3.1	G.1.3
G.1.3.2		A.2.1.1.2.2.1.2.1.3.2	G.1.3
G.2		A.2.1.1.2.2.1.2.2	G
G.2.1		A.2.1.1.2.2.1.2.2.1	G.2
G.2.2		A.2.1.1.2.2.1.2.2.2	G.2
G.3		A.2.1.1.2.2.1.2.3	G
G.4		A.2.1.1.2.2.1.2.4	G
J	G.1.3.1.1	A.2.1.1.2.2.1.2.1.3.1.1	G.1.3.1
J.1		A.2.1.1.2.2.1.2.1.3.1.1.1	J
J.1.1		A.2.1.1.2.2.1.2.1.3.1.1.1.1	J.1
J.2		A.2.1.1.2.2.1.2.1.3.1.1.2	J
J.2.1		A.2.1.1.2.2.1.2.1.3.1.1.2.1	J.2
J.2.2		A.2.1.1.2.2.1.2.1.3.1.1.2.2	J.2
J.2.3		A.2.1.1.2.2.1.2.1.3.1.1.2.3	J.2
J.2.4		A.2.1.1.2.2.1.2.1.3.1.1.2.4	J.2
J.2.5		A.2.1.1.2.2.1.2.1.3.1.1.2.5	J.2
J.3		A.2.1.1.2.2.1.2.1.3.1.1.3	J
J.4		A.2.1.1.2.2.1.2.1.3.1.1.4	J
K	J.2.4.1	A.2.1.1.2.2.1.2.1.3.1.1.2.4.1	J.2.4
